Label,Name,Type,ReferenceTo,Length,Precision,Scale,DefaultValue,IsExternalId,IsRequired
External ID,External_Id__c,Text,,50,0,0,,TRUE,FALSE
Amount,Amount__c,Currency,,0,18,2,,FALSE,FALSE
Close Date,CloseDate__c,Date,,0,0,0,,FALSE,TRUE
Created Date,CreatedDate__c,DateTime,,0,0,0,,FALSE,TRUE
Forecast Category,ForecastCategory__c,Text,,40,0,0,,FALSE,FALSE
Opportunity ID,OpportunityId__c,Text,,18,0,0,,FALSE,TRUE
Created By ID,CreatedById__c,Text,,18,0,0,,FALSE,TRUE
Stage Name,StageName__c,Text,,40,0,0,,FALSE,TRUE
